# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 9.04718120E+00   -6.93518582E-01
 9.09089805E+00   -7.19390743E-01
 9.13909699E+00   -7.39627941E-01
 9.19156089E+00   -7.53799857E-01
 9.24799184E+00   -7.61515607E-01
 9.30801371E+00   -7.62430574E-01
 9.37117605E+00   -7.56252715E-01
 9.43695928E+00   -7.42748268E-01
 9.50478095E+00   -7.21746743E-01
 9.57400318E+00   -6.93145124E-01
 9.64394098E+00   -6.56911209E-01
 9.71387146E+00   -6.13086023E-01
 9.78304371E+00   -5.61785265E-01
 9.85068932E+00   -5.03199757E-01
 9.91603314E+00   -4.37594869E-01
 9.97830441E+00   -3.65308938E-01
 1.00367479E+01   -2.86750678E-01
 1.00906347E+01   -2.02395621E-01
 1.01392736E+01   -1.12781628E-01
 1.01820204E+01   -1.85035384E-02
 1.02182884E+01    7.97929844E-02
 1.02475570E+01    1.81418315E-01
 1.02693796E+01    2.85646345E-01
 1.02833908E+01    3.91722474E-01
 1.02149338E+01    4.58271689E-01
 1.02225580E+01    5.64852527E-01
 1.02220690E+01    6.71947749E-01
 1.02133314E+01    7.78766598E-01
 1.01963043E+01    8.84522012E-01
 1.01710423E+01    9.88439492E-01
 1.01376958E+01    1.08976579E+00
 1.00965097E+01    1.18777729E+00
 1.00478202E+01    1.28178799E+00
 9.99205096E+00    1.37115688E+00
 9.92970802E+00    1.45529479E+00
 9.86137293E+00    1.53367040E+00
 9.78769533E+00    1.60581550E+00
 9.70938438E+00    1.67132933E+00
 9.62719938E+00    1.72988201E+00
 9.54193961E+00    1.78121695E+00
 9.45443375E+00    1.82515228E+00
 9.36552882E+00    1.86158122E+00
 9.27607892E+00    1.89047147E+00
 9.18693394E+00    1.91186357E+00
 9.09892836E+00    1.92586831E+00
 9.01287033E+00    1.93266320E+00
 8.92953125E+00    1.93248813E+00
 8.84963588E+00    1.92564017E+00
 8.77385326E+00    1.91246775E+00
 8.70278849E+00    1.89336423E+00
 8.63697548E+00    1.86876094E+00
 8.57687090E+00    1.83911988E+00
 8.52284925E+00    1.80492613E+00
 8.47519919E+00    1.76668012E+00
